size,kernel,avg_time_ms,tflops,bandwidth_gbps,speedup
64,PyTorch,0.019408000633120537,0.02701401395800046,1.2662819042812719,1.0
64,CUTLASS Hopper (BF16),0.02964800037443638,0.01768375584790065,0.8289260553703431,0.6546141523208711
96,PyTorch,0.019487999379634857,0.09079803244704095,2.83743851397003,1.0
96,CUTLASS Hopper (BF16),0.029503999277949333,0.059973971098977966,1.8741865968430613,0.6605206025136998
128,PyTorch,0.019680000841617584,0.21312519413770775,4.995121737602526,1.0
128,CUTLASS Hopper (BF16),0.029504000209271908,0.1421605195990305,3.3318871781022787,0.6670282233604703
256,PyTorch,0.01942400075495243,1.7274727499917752,20.24382128896612,1.0
256,CUTLASS Hopper (BF16),0.030287999659776688,1.1078457599351212,12.982567499239703,0.6413101219341352
512,PyTorch,0.019168000668287277,14.004353434947244,82.05675840789402,1.0
512,CUTLASS Hopper (BF16),0.03209599852561951,8.36351783184844,49.004987295986965,0.5972084231305996
768,PyTorch,0.019648000597953796,46.11001814069318,180.11725836208274,1.0
768,CUTLASS Hopper (BF16),0.03441600129008293,26.324082695250762,102.82844802832328,0.5708972530639527
1024,PyTorch,0.020080000162124634,106.94639594927065,313.3195193826289,1.0
1024,CUTLASS Hopper (BF16),0.035392001271247864,60.67709004476658,177.7649122405271,0.567359839536326
1536,PyTorch,0.024304000660777092,298.21252118778784,582.4463304448982,1.0
1536,CUTLASS Hopper (BF16),0.05238400027155876,138.35822530596388,270.2309088007107,0.4639584708075959
2048,PyTorch,0.036288000643253326,473.43113093760604,693.5026332093839,1.0
2048,CUTLASS Hopper (BF16),0.06046400032937527,284.1338497356003,416.2116939486333,0.600158779531223
3072,PyTorch,0.0859839990735054,674.3354475340545,658.5307104824751,1.0
3072,CUTLASS Hopper (BF16),0.1483360007405281,390.8832529294302,381.7219266888967,0.5796569857907259
4096,PyTorch,0.1828800067305565,751.5253084744994,550.4335755428464,1.0
4096,CUTLASS Hopper (BF16),0.2863039970397949,480.04552815550323,351.59584581701904,0.6387616261785442
8192,PyTorch,1.5689600110054016,700.7900902913544,256.63699595630663,1.0
8192,CUTLASS Hopper (BF16),2.2444000244140625,489.8911138013579,179.4034840581145,0.6990554241394665
