size,best_config,best_config_name,best_time_ms,best_tflops,pytorch_time_ms,pytorch_tflops,speedup_vs_pytorch
128,160,128x128x64_DataParallel_RasterN_Swz1,0.010511999949812889,0.39900152397495564,0.01655999943614006,0.25327923567717475,1.5753424196348882
256,86,128x128x64_Heuristic_RasterH_Swz4,0.011264000087976456,2.9789090676425904,0.016656000167131424,2.014555215135958,1.478693185106644
512,161,128x128x64_DataParallel_RasterN_Swz2,0.013088000006973743,20.510043998851483,0.016736000776290894,16.039402697703018,1.2787286649887963
1024,157,128x128x64_DataParallel_RasterH_Swz2,0.017023999243974686,126.14448680500617,0.016815999522805214,127.70478763915666,0.9877819707232959
2048,10,128x256x64_Heuristic_RasterM_Swz4,0.03452799841761589,497.5634259539057,0.03484800085425377,492.9943974649242,1.0092679115877918
4096,52,128x256x64_SplitK_RasterN_Swz8_Spl1,0.20983999967575073,654.970232960225,0.18494399636983871,743.138226542692,0.8813572086142687
6144,40,128x256x64_SplitK_RasterN_Swz1_Spl1,0.6895839869976044,672.6613098827821,0.6653119921684265,697.2014234346955,0.9648019743978449
8192,3,128x256x64_Heuristic_RasterH_Swz8,1.834559977054596,599.3326146476153,1.6544640064239502,664.5727096551016,0.9018315166126148
