size,kernel,avg_time_ms,tflops,bandwidth_gbps,speedup
64,PyTorch,0.01897599920630455,0.027629006214640414,1.2951096663112696,1.0
64,CUTLASS Hopper (BF16),0.022096000611782074,0.02372773286946951,1.1122374782563835,0.8587979127854536
96,PyTorch,0.018015999346971512,0.09821669983005679,3.0692718696892745,1.0
96,CUTLASS Hopper (BF16),0.02160000056028366,0.08191999787507238,2.5599999335960124,0.834074022206179
128,PyTorch,0.018783999606966972,0.22329131642679204,5.233390228752939,1.0
128,CUTLASS Hopper (BF16),0.02131200022995472,0.19680480268129724,4.612612562842905,0.8813813534294843
256,PyTorch,0.01825599931180477,1.8379948107416333,21.53900168837852,1.0
256,CUTLASS Hopper (BF16),0.021407999098300934,1.5673782424002007,18.367713778127353,0.8527653251467895
512,PyTorch,0.017952000722289085,14.952954835096026,87.6149697368908,1.0
512,CUTLASS Hopper (BF16),0.021663999184966087,12.390854232780946,72.60266152020085,0.8286558990801212
768,PyTorch,0.0184480007737875,49.1093682783925,191.8334698374707,1.0
768,CUTLASS Hopper (BF16),0.022495999932289124,40.27247807285227,157.3143674720792,0.8200569358692333
1024,PyTorch,0.018799999728798866,114.22785526482573,334.6519197211692,1.0
1024,CUTLASS Hopper (BF16),0.02550400048494339,84.20183528728343,246.6850643182132,0.7371392476210814
1536,PyTorch,0.023615999147295952,306.9003037641909,599.4146557894353,1.0
1536,CUTLASS Hopper (BF16),0.05051200091838837,143.48584851568472,280.2457978821967,0.46753244215076806
2048,PyTorch,0.03579200059175491,479.99186689658177,703.1130862742897,1.0
2048,CUTLASS Hopper (BF16),0.06539199873805046,262.72127348209244,384.84561545228394,0.5473452606202137
3072,PyTorch,0.08575999736785889,676.0967849298291,660.2507665330362,1.0
3072,CUTLASS Hopper (BF16),0.19491199404001236,297.47814536286154,290.5060013309195,0.43999343288363113
4096,PyTorch,0.18001600354909897,763.481861403027,559.1908164572952,1.0
4096,CUTLASS Hopper (BF16),0.388495996594429,353.771865545064,259.1102530847637,0.46336643138443184
8192,PyTorch,1.567359983921051,701.505486330818,256.8989818106023,1.0
8192,CUTLASS Hopper (BF16),2.816543936729431,390.37616755687895,142.96002229866176,0.556483413406669
