size,kernel,avg_time_ms,tflops,bandwidth_gbps,speedup
64,PyTorch,0.016720000654459,0.03135693657166092,1.469856401796606,1.0
64,CUTLASS Hopper (BF16),0.021104000508785248,0.024843062327531102,1.1645185466030206,0.7922668807508196
96,PyTorch,0.01648000068962574,0.10737086929334252,3.355339665416954,1.0
96,CUTLASS Hopper (BF16),0.02099199965596199,0.08429268430830254,2.634146384634455,0.7850610213279616
128,PyTorch,0.01616000011563301,0.2595485129942836,6.0831682733035235,1.0
128,CUTLASS Hopper (BF16),0.020655999891459942,0.20305499719401632,4.7591014967347585,0.7823392815912162
256,PyTorch,0.0161920003592968,2.072284538996714,24.28458444136775,1.0
256,CUTLASS Hopper (BF16),0.020479999482631683,1.6384000413894664,19.200000485032813,0.7906250375166574
512,PyTorch,0.01603199914097786,16.743729440072,98.1077896879219,1.0
512,CUTLASS Hopper (BF16),0.021888000890612602,12.264046284607355,71.85964619887123,0.7324560713013182
768,PyTorch,0.016416000202298164,55.18820984621871,215.57894471179185,1.0
768,CUTLASS Hopper (BF16),0.02659199945628643,34.069257014286904,133.08303521205823,0.6173285400852914
1024,PyTorch,0.016575999557971954,129.55379496057014,379.55213367354537,1.0
1024,CUTLASS Hopper (BF16),0.031072000041604042,69.11314511858309,202.4799173395989,0.5334706338754319
1536,PyTorch,0.02247999981045723,322.40913581451605,629.7053433877267,1.0
1536,CUTLASS Hopper (BF16),0.07638400048017502,94.88580417938583,185.32383628786295,0.2943024673902982
2048,PyTorch,0.03478400036692619,493.90147777065926,723.4884928281142,1.0
2048,CUTLASS Hopper (BF16),0.11414399743080139,150.51049175332338,220.47435315428234,0.3047378850387085
3072,PyTorch,0.08425600081682205,688.165328687469,672.0364537963565,1.0
3072,CUTLASS Hopper (BF16),0.37806400656700134,153.36571979571477,149.7712107380027,0.2228617359846183
4096,PyTorch,0.17817600071430206,771.3662497811797,564.9655149764501,1.0
4096,CUTLASS Hopper (BF16),0.7855679988861084,174.95487808424065,128.14077984685596,0.22681168398782242
8192,PyTorch,1.5822399854660034,694.9082553062709,254.48300365219887,1.0
8192,CUTLASS Hopper (BF16),5.944159984588623,184.97342444124905,67.73929117721525,0.26618395022480296
