size,kernel,avg_time_ms,tflops,bandwidth_gbps,speedup
64,PyTorch,0.01635199971497059,0.032062622868076714,1.5029354469410963,1.0
64,CUTLASS Hopper (BF16),0.020287999883294106,0.025842271442032008,1.2113564738452505,0.8059936814390183
96,PyTorch,0.016208000481128693,0.10917275095470491,3.4116484673345284,1.0
96,CUTLASS Hopper (BF16),0.020096000283956528,0.08805095416985254,2.751592317807892,0.8065286749656454
128,PyTorch,0.015904000028967857,0.26372635766853697,6.181086507856336,1.0
128,CUTLASS Hopper (BF16),0.01966400071978569,0.21329860895396222,4.999186147358491,0.8087876040894078
256,PyTorch,0.015936000272631645,2.105574261166781,24.67469837304822,1.0
256,CUTLASS Hopper (BF16),0.01990400068461895,1.6858134468378299,19.75562633013082,0.8006430729750917
512,PyTorch,0.01587199978530407,16.91251635780295,99.09677553400168,1.0
512,CUTLASS Hopper (BF16),0.020191999152302742,13.294149528001888,77.89540739063607,0.7860539050930967
768,PyTorch,0.01616000011563301,56.06247880676526,218.99405783892684,1.0
768,CUTLASS Hopper (BF16),0.02247999981045723,40.301141976814506,157.42633584693166,0.7188612211693931
1024,PyTorch,0.016176000237464905,132.75739468810445,388.9376797503061,1.0
1024,CUTLASS Hopper (BF16),0.02518399991095066,85.27174617191044,249.8195688630189,0.6423125911158838
1536,PyTorch,0.022255999967455864,325.65408530724886,636.0431353657204,1.0
1536,CUTLASS Hopper (BF16),0.04982399940490723,145.4671924888904,284.11561032986407,0.4466923617790475
2048,PyTorch,0.03417599946260452,502.6881277546326,736.3595621405752,1.0
2048,CUTLASS Hopper (BF16),0.06420799717307091,267.56587871277355,391.94220514566445,0.5322701371681793
3072,PyTorch,0.08396799862384796,690.5256698536144,674.3414744664204,1.0
3072,CUTLASS Hopper (BF16),0.19443200528621674,298.21252118778784,291.2231652224491,0.43186304898847044
4096,PyTorch,0.18012799322605133,763.0071873366246,558.843154787567,1.0
4096,CUTLASS Hopper (BF16),0.404448002576828,339.8185986736142,248.89057520040103,0.4453674936664686
8192,PyTorch,1.5948480367660522,689.4146667450091,252.4711914349399,1.0
8192,CUTLASS Hopper (BF16),2.9760639667510986,369.4516112757858,135.2972209261911,0.535891719594694
